time,open,high,low,close,volume
2025-08-04 07:00:00,1.15793,1.15841,1.15779,1.15816,628
2025-08-04 07:15:00,1.15816,1.15848,1.15814,1.1583700000000001,393
2025-08-04 07:30:00,1.1583700000000001,1.15855,1.15774,1.15786,546
2025-08-04 07:45:00,1.15785,1.15808,1.15743,1.15743,493
2025-08-04 08:00:00,1.15743,1.15821,1.15711,1.15784,621
2025-08-04 08:15:00,1.15783,1.15793,1.15732,1.15766,631
2025-08-04 08:30:00,1.15763,1.15769,1.15703,1.15712,626
2025-08-04 08:45:00,1.15712,1.15714,1.15673,1.15703,694
2025-08-04 09:00:00,1.15707,1.15788,1.15666,1.15787,1192
2025-08-04 09:15:00,1.15785,1.15833,1.15633,1.15666,997
2025-08-04 09:30:00,1.15679,1.15767,1.15661,1.15746,1086
2025-08-04 09:45:00,1.15741,1.15779,1.15704,1.1571799999999999,1028
2025-08-04 10:00:00,1.1571500000000001,1.15786,1.15624,1.1566,1456
2025-08-04 10:15:00,1.15658,1.15678,1.1555900000000001,1.15585,1151
2025-08-04 10:30:00,1.15585,1.15603,1.15506,1.15572,954
2025-08-04 10:45:00,1.15572,1.15667,1.15537,1.15637,1137
2025-08-04 11:00:00,1.15639,1.1565400000000001,1.1555900000000001,1.1562000000000001,1368
2025-08-04 11:15:00,1.15619,1.15633,1.15562,1.15615,1038
2025-08-04 11:30:00,1.15612,1.15615,1.15497,1.15511,925
2025-08-04 11:45:00,1.1551,1.15598,1.15504,1.15581,883
2025-08-04 12:00:00,1.15577,1.15696,1.15554,1.15686,1053
2025-08-04 12:15:00,1.15683,1.15738,1.15667,1.1571,1036
2025-08-04 12:30:00,1.15709,1.15775,1.157,1.15727,830
2025-08-04 12:45:00,1.15726,1.15726,1.15628,1.15644,835
2025-08-04 13:00:00,1.15644,1.1566,1.156,1.1562000000000001,944
2025-08-04 13:15:00,1.15619,1.15636,1.15552,1.15598,793
2025-08-04 13:30:00,1.1559599999999999,1.15638,1.15563,1.15612,822
2025-08-04 13:45:00,1.15611,1.15774,1.15597,1.15739,1062
2025-08-04 14:00:00,1.15739,1.15833,1.15735,1.15833,1111
2025-08-04 14:15:00,1.15836,1.15862,1.15773,1.15796,1049
2025-08-04 14:30:00,1.15797,1.158,1.15674,1.15676,958
2025-08-04 14:45:00,1.15678,1.1571799999999999,1.15646,1.15668,1122
2025-08-04 15:00:00,1.1567,1.1569,1.15607,1.15649,1231
2025-08-04 15:15:00,1.1565,1.15845,1.15641,1.15842,1271
2025-08-04 15:30:00,1.15843,1.15878,1.15786,1.15849,1250
2025-08-04 15:45:00,1.15851,1.15886,1.1572,1.15753,1255
2025-08-04 16:00:00,1.15751,1.15882,1.15731,1.15871,1288
2025-08-04 16:15:00,1.15871,1.15881,1.15809,1.15859,1154
2025-08-04 16:30:00,1.15856,1.15877,1.15754,1.1578,1516
2025-08-04 16:45:00,1.1578,1.15827,1.1573,1.15761,1383
2025-08-04 17:00:00,1.15762,1.15825,1.15665,1.15772,1764
2025-08-04 17:15:00,1.15772,1.1587399999999999,1.15705,1.15827,1416
2025-08-04 17:30:00,1.15827,1.15858,1.15741,1.15745,1383
2025-08-04 17:45:00,1.15745,1.15772,1.15568,1.15641,1788
2025-08-04 18:00:00,1.15641,1.15751,1.15611,1.15722,1462
2025-08-04 18:15:00,1.15721,1.1575199999999999,1.15641,1.15659,1161
2025-08-04 18:30:00,1.15659,1.15756,1.15621,1.1572,1088
2025-08-04 18:45:00,1.15719,1.15767,1.1565699999999999,1.15671,950
2025-08-04 19:00:00,1.15673,1.157,1.1561,1.1564,945
2025-08-04 19:15:00,1.15639,1.1566,1.15568,1.1565,870
2025-08-04 19:30:00,1.15651,1.15693,1.15609,1.15677,835
2025-08-04 19:45:00,1.15677,1.15754,1.15665,1.15722,697
2025-08-04 20:00:00,1.15721,1.1573,1.15651,1.15687,736
2025-08-04 20:15:00,1.15687,1.15739,1.15682,1.15689,636
2025-08-04 20:30:00,1.15689,1.15716,1.15644,1.1565,553
2025-08-04 20:45:00,1.15651,1.1574200000000001,1.15645,1.1573,730
2025-08-04 21:00:00,1.15729,1.15755,1.1571799999999999,1.15749,669
2025-08-04 21:15:00,1.15748,1.15775,1.15716,1.15721,643
2025-08-04 21:30:00,1.15721,1.15728,1.1566,1.15698,707
2025-08-04 21:45:00,1.15697,1.15708,1.15642,1.1565400000000001,645
2025-08-04 22:00:00,1.1565400000000001,1.15713,1.15641,1.1568100000000001,633
2025-08-04 22:15:00,1.1568,1.15724,1.15675,1.15714,481
2025-08-04 22:30:00,1.15714,1.15727,1.1566,1.15676,474
2025-08-04 22:45:00,1.15676,1.15688,1.1562999999999999,1.1568100000000001,594
2025-08-04 23:00:00,1.1568100000000001,1.15722,1.15655,1.1572,401
2025-08-04 23:15:00,1.1572,1.15762,1.15716,1.15753,362
2025-08-04 23:30:00,1.15753,1.15755,1.15711,1.1572,473
2025-08-04 23:45:00,1.1572,1.1575,1.15713,1.15723,381
2025-08-05 00:00:00,1.15665,1.15687,1.15563,1.15687,25
2025-08-05 00:15:00,1.15687,1.15701,1.15618,1.15678,110
2025-08-05 00:30:00,1.1568,1.15688,1.15643,1.15684,158
2025-08-05 00:45:00,1.15685,1.15698,1.15678,1.15686,138
2025-08-05 01:00:00,1.15685,1.15777,1.15684,1.15759,422
2025-08-05 01:15:00,1.15759,1.15795,1.15753,1.15795,312
2025-08-05 01:30:00,1.15795,1.15816,1.15768,1.1579,375
2025-08-05 01:45:00,1.1579,1.1581,1.15775,1.15793,210
2025-08-05 02:00:00,1.15799,1.15855,1.15779,1.1584699999999999,351
2025-08-05 02:15:00,1.1584699999999999,1.15852,1.15819,1.15848,242
2025-08-05 02:30:00,1.1584699999999999,1.15855,1.15822,1.15831,263
2025-08-05 02:45:00,1.15832,1.1584699999999999,1.15821,1.15841,325
2025-08-05 03:00:00,1.15844,1.15878,1.15843,1.15863,655
2025-08-05 03:15:00,1.15863,1.15868,1.15788,1.1579,626
2025-08-05 03:30:00,1.15791,1.15797,1.15746,1.15757,602
2025-08-05 03:45:00,1.15757,1.15765,1.15707,1.15719,796
2025-08-05 04:00:00,1.15717,1.15739,1.15595,1.15605,817
2025-08-05 04:15:00,1.15604,1.1568100000000001,1.1559599999999999,1.15674,807
2025-08-05 04:30:00,1.15673,1.15698,1.15645,1.15693,655
2025-08-05 04:45:00,1.15693,1.15736,1.15634,1.1564,727
2025-08-05 05:00:00,1.15639,1.15645,1.15571,1.15607,720
2025-08-05 05:15:00,1.15606,1.15626,1.15578,1.15597,584
2025-08-05 05:30:00,1.1559599999999999,1.156,1.15556,1.15577,630
2025-08-05 05:45:00,1.15577,1.15616,1.15576,1.15605,464
2025-08-05 06:00:00,1.15604,1.15616,1.1558,1.15603,474
2025-08-05 06:15:00,1.15602,1.1561,1.15543,1.15579,490
2025-08-05 06:30:00,1.15579,1.15608,1.15554,1.15607,255
2025-08-05 06:45:00,1.15608,1.15615,1.15547,1.15556,378
2025-08-05 07:00:00,1.15555,1.15576,1.15541,1.1556,372
2025-08-05 07:15:00,1.1555900000000001,1.15576,1.15542,1.1556,386
2025-08-05 07:30:00,1.15561,1.15602,1.15557,1.15587,444
2025-08-05 07:45:00,1.15587,1.15603,1.15578,1.15583,434
2025-08-05 08:00:00,1.15581,1.15581,1.15545,1.15567,437
2025-08-05 08:15:00,1.15565,1.15568,1.15517,1.15542,422
2025-08-05 08:30:00,1.15541,1.15547,1.15443,1.15485,824
2025-08-05 08:45:00,1.15485,1.1551,1.15464,1.1548,710
2025-08-05 09:00:00,1.1548,1.15495,1.15428,1.15493,846
2025-08-05 09:15:00,1.15494,1.15614,1.15479,1.15557,870
2025-08-05 09:30:00,1.15557,1.15557,1.15485,1.15496,697
2025-08-05 09:45:00,1.15495,1.15521,1.15455,1.1550799999999999,669
2025-08-05 10:00:00,1.1550799999999999,1.15566,1.15481,1.15555,901
2025-08-05 10:15:00,1.1556899999999999,1.15623,1.1556899999999999,1.15594,855
2025-08-05 10:30:00,1.15594,1.15606,1.1552,1.15563,886
2025-08-05 10:45:00,1.15547,1.15547,1.15332,1.15462,1288
2025-08-05 11:00:00,1.15461,1.15491,1.15418,1.15426,1084
